"Type","TimeType","Count","Quantile.0.","Quantile.5.","Quantile.10.","Quantile.15.","Quantile.20.","Quantile.25.","Quantile.30.","Quantile.35.","Quantile.40.","Quantile.45.","Quantile.50.","Quantile.55.","Quantile.60.","Quantile.65.","Quantile.70.","Quantile.75.","Quantile.80.","Quantile.85.","Quantile.90.","Quantile.95.","Quantile.100.","state","state_code","state_name"
"Mothership","MT(TPA)",738,0.02,0.36,0.49,0.6,0.72,0.78,0.85,0.93,1.03,1.07,1.15,1.2,1.3,1.4,1.48,1.62,1.77,1.94,2.18,2.63,11.3,"NJ","34","New Jersey"
"Mothership","MT(No TPA)",1306,0.03,0.39,0.63,0.93,1.17,1.35,1.48,1.58,1.68,1.78,1.89,2,2.12,2.23,2.37,2.53,2.73,2.97,3.47,4.65,11.7,"NJ","34","New Jersey"
"Transfer","TPA",9,0.27,0.28,0.29,0.34,0.42,0.5,0.53,0.57,0.6,0.63,0.67,0.76,0.85,0.93,1,1.07,1.07,1.08,1.12,1.18,1.25,"NJ","34","New Jersey"
"Transfer","MT",865,0.02,0.2,0.28,0.38,0.45,0.52,0.57,0.63,0.69,0.75,0.83,0.9,0.98,1.1,1.23,1.42,1.65,1.97,2.26,2.88,9.38,"NJ","34","New Jersey"
"Transfer","Transfer",4441,0.02,0.17,0.27,0.33,0.38,0.42,0.47,0.52,0.57,0.62,0.67,0.73,0.8,0.88,0.95,1.08,1.25,1.65,3.07,7.08,11.98,"NJ","34","New Jersey"
"Transfer","DIDO",3230,0.02,1.27,1.52,1.73,1.93,2.08,2.26,2.43,2.6,2.82,3.02,3.27,3.48,3.82,4.18,4.63,5.23,6.06,7.15,8.81,11.98,"NJ","34","New Jersey"
"LKW to EMS","LKW to EMS",2082,0.02,0.18,0.27,0.33,0.42,0.48,0.58,0.68,0.82,1.02,1.27,1.63,2.12,2.75,3.7,4.63,5.82,7.47,9,10.57,11.97,"NJ","34","New Jersey"
"PSC","TPA",623,0.18,0.34,0.4,0.45,0.48,0.55,0.6,0.65,0.7,0.75,0.83,0.9,0.98,1.07,1.22,1.37,1.52,1.75,2.04,2.41,4.27,"NM","35","New Mexico"
"Mothership","TPA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NM","35","New Mexico"
"Mothership","MT(TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NM","35","New Mexico"
"Mothership","MT(No TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NM","35","New Mexico"
"Transfer","TPA",7,0.2,0.31,0.43,0.54,0.61,0.66,0.7,0.74,0.76,0.78,0.8,0.86,0.92,0.98,1.11,1.28,1.45,1.7,2.08,2.47,2.85,"NM","35","New Mexico"
"Transfer","MT",194,0.15,0.34,0.48,0.53,0.67,0.83,0.95,1.02,1.1,1.21,1.26,1.33,1.46,1.56,1.72,1.82,1.96,2.12,2.41,2.9,5.8,"NM","35","New Mexico"
"Transfer","Transfer",767,0.02,0.24,0.36,0.45,0.52,0.65,0.86,1.25,1.61,1.97,2.25,2.79,3.46,4.05,4.77,5.62,6.9,8.97,10.08,10.91,11.97,"NM","35","New Mexico"
"Transfer","DIDO",283,0.82,1.54,2.12,2.46,2.8,3.21,3.64,3.82,4.22,4.6,5.13,5.68,6.16,6.46,6.89,7.43,7.95,8.65,9.34,10.27,11.83,"NM","35","New Mexico"
"LKW to EMS","LKW to EMS",496,0.03,0.17,0.23,0.3,0.38,0.48,0.57,0.67,0.82,1,1.22,1.55,2.05,2.69,3.53,4.51,5.65,7.73,8.94,10.21,11.92,"NM","35","New Mexico"
"PSC","TPA",1286,0.05,0.42,0.5,0.57,0.62,0.67,0.73,0.77,0.82,0.87,0.93,0.98,1.03,1.1,1.2,1.28,1.38,1.57,1.78,2.16,11.18,"NV","32","Nevada"
"Mothership","TPA",531,0.13,0.36,0.43,0.5,0.58,0.62,0.67,0.7,0.73,0.78,0.83,0.87,0.92,0.97,1.02,1.1,1.23,1.36,1.57,2.11,7.17,"NV","32","Nevada"
"Mothership","MT(TPA)",128,0.02,0.16,0.2,0.22,0.3,0.33,0.39,0.45,0.53,0.62,0.75,0.91,1.05,1.24,1.32,1.5,1.79,2.05,2.35,2.96,10.3,"NV","32","Nevada"
"Mothership","MT(No TPA)",220,0.33,0.58,0.72,0.8,0.9,0.98,1.03,1.11,1.24,1.33,1.47,1.56,1.67,1.76,1.93,2.13,2.37,2.77,3.25,4.32,10.75,"NV","32","Nevada"
"Transfer","TPA",44,0.17,0.32,0.38,0.39,0.42,0.48,0.5,0.52,0.59,0.61,0.64,0.71,0.79,0.92,0.95,1.02,1.09,1.18,1.25,1.43,2.83,"NV","32","Nevada"
"Transfer","MT",285,0.03,0.14,0.2,0.25,0.32,0.38,0.43,0.58,0.63,0.7,0.8,0.88,1.02,1.16,1.25,1.4,1.5,1.7,2.04,3.03,10.82,"NV","32","Nevada"
"Transfer","Transfer",1436,0.02,0.23,0.3,0.33,0.4,0.43,0.48,0.53,0.6,0.67,0.75,0.9,1.13,1.47,2.16,3.42,5.52,7.86,9.79,11,11.98,"NV","32","Nevada"
"Transfer","DIDO",903,0.05,0.97,1.27,1.51,1.72,1.88,2.1,2.33,2.53,2.75,2.97,3.2,3.5,3.77,4.02,4.37,4.8,5.4,6.2,7.8,11.92,"NV","32","Nevada"
"LKW to EMS","LKW to EMS",1153,0.02,0.13,0.18,0.25,0.32,0.38,0.47,0.52,0.62,0.78,0.98,1.29,1.62,2.07,2.55,3.97,4.86,6.06,7.67,9.7,11.93,"NV","32","Nevada"
"PSC","TPA",6626,0.02,0.47,0.55,0.6,0.67,0.72,0.77,0.82,0.87,0.92,0.98,1.03,1.12,1.18,1.27,1.38,1.5,1.67,1.92,2.4,11.55,"NY","36","New York"
"Mothership","TPA",4754,0.02,0.35,0.43,0.48,0.52,0.57,0.62,0.65,0.7,0.73,0.78,0.83,0.88,0.95,1.02,1.1,1.2,1.33,1.53,1.95,6.57,"NY","36","New York"
"Mothership","MT(TPA)",960,0.02,0.3,0.41,0.5,0.55,0.62,0.68,0.75,0.82,0.88,0.93,1.02,1.08,1.17,1.25,1.35,1.5,1.65,1.95,2.53,10.23,"NY","36","New York"
"Mothership","MT(No TPA)",2732,0.02,0.73,0.9,1.03,1.12,1.18,1.27,1.35,1.43,1.52,1.58,1.67,1.75,1.87,1.98,2.13,2.35,2.61,3.07,4.61,11.82,"NY","36","New York"
"Transfer","TPA",90,0.08,0.27,0.38,0.44,0.47,0.5,0.58,0.64,0.67,0.72,0.8,0.83,0.85,0.88,0.95,0.98,1.07,1.24,1.43,1.71,3.03,"NY","36","New York"
"Transfer","MT",2204,0.02,0.35,0.5,0.6,0.68,0.77,0.85,0.92,1,1.08,1.18,1.27,1.35,1.45,1.57,1.72,1.85,2.03,2.36,2.83,11.83,"NY","36","New York"
"Transfer","Transfer",17126,0.02,0.18,0.27,0.32,0.37,0.42,0.47,0.53,0.6,0.67,0.75,0.82,0.9,1,1.12,1.27,1.48,1.8,2.38,4.63,11.97,"NY","36","New York"
"Transfer","DIDO",12370,0.02,0.87,1.15,1.35,1.53,1.7,1.88,2.05,2.23,2.47,2.7,2.95,3.25,3.58,4,4.43,5,5.73,6.8,8.43,11.98,"NY","36","New York"
"LKW to EMS","LKW to EMS",42651,0.02,0.17,0.25,0.33,0.42,0.52,0.65,0.8,1,1.2,1.5,1.85,2.32,2.92,3.7,4.65,5.8,7.33,8.95,10.52,11.98,"NY","36","New York"
"PSC","TPA",4575,0.07,0.43,0.52,0.57,0.62,0.67,0.72,0.77,0.81,0.85,0.88,0.93,0.98,1.05,1.12,1.22,1.32,1.45,1.65,2.04,11.52,"OH","39","Ohio"
"Mothership","TPA",2552,0.05,0.35,0.4,0.47,0.5,0.53,0.58,0.63,0.68,0.72,0.78,0.83,0.88,0.95,1.02,1.1,1.22,1.37,1.6,2.09,7.38,"OH","39","Ohio"
"Mothership","MT(TPA)",518,0.03,0.4,0.52,0.63,0.72,0.77,0.85,0.9,0.97,1.02,1.08,1.15,1.2,1.27,1.35,1.43,1.55,1.75,2.07,2.52,11.12,"OH","39","Ohio"
"Mothership","MT(No TPA)",1444,0.02,0.25,0.37,0.52,0.63,0.77,0.9,1.08,1.2,1.3,1.4,1.5,1.65,1.77,1.88,2.07,2.29,2.64,3.02,4.16,11.92,"OH","39","Ohio"
"Transfer","TPA",58,0.07,0.12,0.21,0.26,0.3,0.32,0.33,0.35,0.38,0.4,0.49,0.56,0.6,0.63,0.66,0.74,0.87,0.94,1.32,1.85,2.25,"OH","39","Ohio"
"Transfer","MT",1052,0.02,0.33,0.45,0.56,0.65,0.73,0.82,0.92,0.98,1.05,1.15,1.25,1.34,1.43,1.55,1.68,1.85,2.03,2.35,3.22,11.92,"OH","39","Ohio"
"Transfer","Transfer",8198,0.02,0.17,0.27,0.33,0.4,0.45,0.49,0.53,0.58,0.63,0.7,0.77,0.83,0.93,1.03,1.2,1.45,1.98,3.93,8.92,11.97,"OH","39","Ohio"
"Transfer","DIDO",5983,0.02,1.15,1.37,1.53,1.7,1.87,2.05,2.25,2.48,2.78,3.07,3.43,3.8,4.2,4.62,5.07,5.7,6.42,7.43,9.01,11.98,"OH","39","Ohio"
"LKW to EMS","LKW to EMS",10624,0.02,0.12,0.18,0.25,0.33,0.42,0.53,0.67,0.82,1.05,1.37,1.73,2.25,2.88,3.72,4.67,5.88,7.43,9.08,10.6,11.98,"OH","39","Ohio"
"PSC","TPA",829,0.07,0.35,0.45,0.52,0.57,0.63,0.67,0.72,0.77,0.82,0.87,0.92,0.98,1.05,1.13,1.22,1.35,1.47,1.67,2.01,4.65,"OK","40","Oklahoma"
"Mothership","TPA",753,0.18,0.36,0.4,0.43,0.47,0.5,0.54,0.57,0.6,0.65,0.68,0.73,0.77,0.82,0.88,0.93,1.03,1.13,1.33,1.8,5.1,"OK","40","Oklahoma"
"Mothership","MT(TPA)",144,0.12,0.44,0.5,0.55,0.61,0.7,0.8,0.88,0.92,0.96,1.03,1.08,1.17,1.25,1.32,1.43,1.55,1.65,1.86,2.19,8.78,"OK","40","Oklahoma"
"Mothership","MT(No TPA)",201,0.43,0.85,0.97,1.1,1.28,1.37,1.45,1.5,1.6,1.67,1.78,1.9,2.02,2.13,2.2,2.3,2.5,2.83,3.22,5.17,10.9,"OK","40","Oklahoma"
"Transfer","TPA",21,0.2,0.25,0.28,0.32,0.32,0.42,0.45,0.47,0.5,0.52,0.53,0.55,0.57,0.58,0.65,0.7,0.75,1.08,1.18,1.23,1.6,"OK","40","Oklahoma"
"Transfer","MT",205,0.02,0.15,0.31,0.42,0.5,0.63,0.69,0.84,0.95,1.05,1.17,1.23,1.33,1.43,1.55,1.72,1.87,2.09,2.5,3.18,9.42,"OK","40","Oklahoma"
"Transfer","Transfer",2936,0.02,0.15,0.28,0.38,0.48,0.57,0.63,0.7,0.77,0.83,0.92,1,1.1,1.25,1.43,1.67,2.02,2.5,3.72,6.65,11.98,"OK","40","Oklahoma"
"Transfer","DIDO",2339,0.02,0.95,1.2,1.42,1.62,1.8,1.97,2.15,2.33,2.52,2.72,2.92,3.17,3.47,3.77,4.17,4.55,5.1,5.84,7.2,11.9,"OK","40","Oklahoma"
"LKW to EMS","LKW to EMS",1733,0.02,0.17,0.23,0.28,0.37,0.45,0.55,0.65,0.82,1.02,1.32,1.67,2.04,2.65,3.3,4.43,5.84,7.47,9.15,10.74,11.98,"OK","40","Oklahoma"
"PSC","TPA",663,0.25,0.45,0.52,0.58,0.63,0.67,0.7,0.73,0.78,0.82,0.85,0.9,0.95,1.02,1.08,1.17,1.29,1.43,1.65,2.05,4.33,"OR","41","Oregon"
"Mothership","TPA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR","41","Oregon"
"Mothership","MT(TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR","41","Oregon"
"Mothership","MT(No TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OR","41","Oregon"
"Transfer","TPA",7,0.63,0.73,0.82,0.92,1.03,1.14,1.26,1.44,1.75,2.07,2.38,2.53,2.68,2.83,3.06,3.32,3.58,3.83,4.05,4.28,4.5,"OR","41","Oregon"
"Transfer","MT",436,0.02,0.23,0.3,0.42,0.48,0.55,0.6,0.65,0.7,0.75,0.83,0.88,0.95,1,1.09,1.2,1.33,1.51,1.85,2.49,10.03,"OR","41","Oregon"
"Transfer","Transfer",3751,0.02,0.23,0.32,0.38,0.43,0.47,0.5,0.55,0.62,0.68,0.75,0.83,0.95,1.05,1.2,1.42,1.68,2.07,2.58,4.55,11.97,"OR","41","Oregon"
"Transfer","DIDO",3046,0.03,1.27,1.55,1.78,2.02,2.22,2.43,2.62,2.82,3.02,3.27,3.52,3.82,4.17,4.45,4.92,5.45,6.22,7.19,8.62,11.97,"OR","41","Oregon"
"LKW to EMS","LKW to EMS",6398,0.02,0.13,0.2,0.25,0.33,0.4,0.48,0.58,0.73,0.9,1.08,1.37,1.75,2.25,2.92,3.78,4.97,6.5,8.5,10.3,11.98,"OR","41","Oregon"
"PSC","TPA",7656,0.02,0.45,0.53,0.6,0.67,0.72,0.75,0.8,0.85,0.9,0.95,1,1.07,1.13,1.22,1.3,1.42,1.55,1.77,2.18,11.58,"PA","42","Pennsylvania"
"Mothership","TPA",3858,0.02,0.37,0.45,0.5,0.53,0.57,0.62,0.65,0.68,0.73,0.77,0.82,0.87,0.93,1,1.08,1.18,1.32,1.57,1.98,10.98,"PA","42","Pennsylvania"
"Mothership","MT(TPA)",897,0.02,0.3,0.42,0.5,0.57,0.62,0.67,0.72,0.78,0.83,0.88,0.97,1.03,1.12,1.2,1.32,1.42,1.58,1.85,2.44,10.1,"PA","42","Pennsylvania"
"Mothership","MT(No TPA)",1821,0.02,0.58,0.77,0.9,1.03,1.15,1.23,1.33,1.42,1.52,1.62,1.7,1.82,1.93,2.07,2.2,2.42,2.72,3.22,4.6,11.88,"PA","42","Pennsylvania"
"Transfer","TPA",68,0.03,0.17,0.29,0.33,0.36,0.4,0.47,0.52,0.6,0.67,0.7,0.78,0.81,0.88,0.93,1,1.07,1.18,1.21,1.96,8.6,"PA","42","Pennsylvania"
"Transfer","MT",3156,0.02,0.2,0.28,0.33,0.4,0.45,0.52,0.57,0.62,0.67,0.73,0.8,0.87,0.97,1.08,1.23,1.4,1.63,1.98,2.52,11.92,"PA","42","Pennsylvania"
"Transfer","Transfer",16130,0.02,0.18,0.28,0.35,0.4,0.43,0.48,0.53,0.58,0.65,0.72,0.78,0.87,0.97,1.08,1.23,1.45,1.87,3.02,7.75,11.98,"PA","42","Pennsylvania"
"Transfer","DIDO",11314,0.02,1.02,1.3,1.48,1.65,1.82,2,2.17,2.35,2.57,2.82,3.08,3.4,3.75,4.15,4.67,5.27,6.02,7.08,8.77,11.97,"PA","42","Pennsylvania"
"LKW to EMS","LKW to EMS",11955,0.02,0.17,0.27,0.35,0.43,0.52,0.62,0.77,0.93,1.15,1.43,1.8,2.3,2.9,3.7,4.68,6,7.58,9.1,10.5,11.98,"PA","42","Pennsylvania"
"PSC","TPA",387,0.02,0.4,0.48,0.52,0.57,0.63,0.67,0.72,0.77,0.8,0.83,0.89,0.95,1,1.07,1.14,1.23,1.32,1.49,1.88,4.18,"PR","72","Puerto Rico"
"Mothership","TPA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR","72","Puerto Rico"
"Mothership","MT(TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR","72","Puerto Rico"
"Mothership","MT(No TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR","72","Puerto Rico"
"Transfer","TPA",70,0.23,0.37,0.45,0.5,0.52,0.58,0.62,0.64,0.72,0.73,0.76,0.78,0.81,0.88,0.92,0.97,1.04,1.19,1.42,1.64,2,"PR","72","Puerto Rico"
"Transfer","MT",24,0.02,0.22,0.7,0.79,0.91,1.03,1.07,1.09,1.22,1.34,1.42,1.43,1.66,2.05,2.21,2.55,3.61,5.01,5.29,5.46,5.72,"PR","72","Puerto Rico"
"Transfer","Transfer",1735,0.03,0.48,0.68,0.8,0.92,1.02,1.17,1.3,1.47,1.63,1.78,1.97,2.16,2.35,2.63,3,3.45,3.97,4.99,7.55,11.98,"PR","72","Puerto Rico"
"Transfer","DIDO",117,0.07,0.48,0.78,0.99,1.17,1.33,1.56,1.77,2.1,2.89,3.28,3.99,4.39,5.1,5.92,6.87,7.36,9.08,10.48,11.11,11.92,"PR","72","Puerto Rico"
"LKW to EMS","LKW to EMS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR","72","Puerto Rico"
"PSC","TPA",391,0.12,0.64,0.72,0.79,0.85,0.89,0.95,1,1.07,1.12,1.2,1.28,1.38,1.48,1.58,1.67,1.82,1.99,2.28,2.71,10.55,"RI","44","Rhode Island"
"Mothership","TPA",861,0.25,0.43,0.47,0.5,0.53,0.57,0.6,0.63,0.67,0.72,0.75,0.8,0.83,0.88,0.97,1.03,1.12,1.28,1.57,2.02,9.45,"RI","44","Rhode Island"
"Mothership","MT(TPA)",219,0.02,0.23,0.37,0.45,0.49,0.55,0.58,0.63,0.65,0.73,0.77,0.85,0.88,0.95,1,1.06,1.19,1.32,1.47,1.77,4.22,"RI","44","Rhode Island"
"Mothership","MT(No TPA)",390,0.13,0.68,0.9,0.99,1.08,1.15,1.21,1.27,1.31,1.38,1.45,1.55,1.62,1.68,1.78,1.9,2.1,2.32,2.9,3.83,10.78,"RI","44","Rhode Island"
"Transfer","TPA",19,0.22,0.29,0.37,0.46,0.52,0.54,0.56,0.62,0.74,0.79,0.83,0.86,0.91,0.92,0.97,1,1.01,1.03,1.07,1.21,2.2,"RI","44","Rhode Island"
"Transfer","MT",324,0.1,0.32,0.38,0.42,0.47,0.52,0.55,0.58,0.62,0.67,0.77,0.87,1.05,1.13,1.32,1.42,1.63,1.92,2.16,2.66,9.88,"RI","44","Rhode Island"
"Transfer","Transfer",1090,0.02,0.12,0.18,0.25,0.33,0.44,0.57,0.67,0.77,0.88,1.04,1.22,1.5,1.91,2.78,4.18,7.01,8.99,10.32,11.2,11.97,"RI","44","Rhode Island"
"Transfer","DIDO",695,0.02,0.65,0.87,1.04,1.22,1.38,1.54,1.73,1.97,2.15,2.3,2.58,2.91,3.23,3.63,4.1,4.62,5.28,6.13,7.79,11.77,"RI","44","Rhode Island"
"LKW to EMS","LKW to EMS",1069,0.02,0.15,0.23,0.32,0.42,0.52,0.68,0.88,1.1,1.35,1.67,2.12,2.69,3.41,4.42,5.58,7.12,8.51,9.46,10.78,11.98,"RI","44","Rhode Island"
"PSC","TPA",1867,0.08,0.42,0.53,0.58,0.62,0.67,0.72,0.75,0.78,0.83,0.88,0.93,0.98,1.03,1.1,1.18,1.3,1.45,1.7,2.14,9.82,"SC","45","South Carolina"
"Mothership","TPA",1690,0.05,0.22,0.27,0.28,0.32,0.37,0.4,0.43,0.48,0.52,0.55,0.58,0.65,0.7,0.77,0.85,0.95,1.07,1.28,1.65,4.42,"SC","45","South Carolina"
"Mothership","MT(TPA)",457,0.02,0.17,0.28,0.39,0.47,0.53,0.57,0.62,0.68,0.73,0.78,0.83,0.88,0.97,1.02,1.1,1.2,1.28,1.41,1.66,9.98,"SC","45","South Carolina"
"Mothership","MT(No TPA)",678,0.03,0.62,0.77,0.86,0.97,1.05,1.13,1.18,1.25,1.28,1.37,1.43,1.52,1.58,1.65,1.77,1.88,2.08,2.4,3.37,11.7,"SC","45","South Carolina"
"Transfer","TPA",22,0.23,0.25,0.32,0.32,0.34,0.38,0.39,0.41,0.42,0.46,0.52,0.57,0.61,0.71,0.79,0.82,0.89,0.93,1.01,1.11,2.05,"SC","45","South Carolina"
"Transfer","MT",922,0.02,0.05,0.12,0.22,0.37,0.43,0.52,0.58,0.68,0.77,0.83,0.95,1.05,1.15,1.23,1.33,1.43,1.58,1.78,2.25,9.9,"SC","45","South Carolina"
"Transfer","Transfer",5966,0.02,0.27,0.37,0.45,0.52,0.58,0.63,0.7,0.77,0.85,0.93,1.02,1.12,1.25,1.42,1.68,2.17,3.4,6.1,10.01,11.98,"SC","45","South Carolina"
"Transfer","DIDO",4261,0.02,1.03,1.37,1.63,1.92,2.15,2.43,2.7,3,3.32,3.63,3.98,4.32,4.73,5.18,5.72,6.32,7.03,7.95,9.33,11.95,"SC","45","South Carolina"
"LKW to EMS","LKW to EMS",10023,0.02,0.17,0.25,0.33,0.4,0.5,0.6,0.75,0.92,1.15,1.43,1.83,2.3,2.98,3.85,4.92,6.22,7.63,9.17,10.62,11.98,"SC","45","South Carolina"
"PSC","TPA",223,0.05,0.47,0.54,0.59,0.65,0.68,0.72,0.77,0.83,0.87,0.92,0.95,1,1.05,1.1,1.2,1.33,1.48,1.66,2.13,3.6,"SD","46","South Dakota"
"Mothership","TPA",76,0.15,0.42,0.45,0.52,0.53,0.6,0.63,0.67,0.7,0.73,0.76,0.79,0.85,0.9,0.95,1.01,1.12,1.29,1.81,2.28,3.22,"SD","46","South Dakota"
"Mothership","MT(TPA)",11,0.55,0.64,0.73,0.76,0.78,0.79,0.8,0.82,0.83,0.86,0.88,1.03,1.18,1.26,1.33,1.42,1.5,1.61,1.72,1.74,1.77,"SD","46","South Dakota"
"Mothership","MT(No TPA)",56,0.58,0.68,0.87,0.93,0.98,1.04,1.09,1.19,1.28,1.35,1.49,1.55,1.62,1.63,1.69,1.77,1.93,2.06,2.18,2.47,3,"SD","46","South Dakota"
"Transfer","TPA",1,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,"SD","46","South Dakota"
"Transfer","MT",55,0.18,0.41,0.43,0.47,0.48,0.5,0.53,0.57,0.59,0.62,0.67,0.8,0.89,0.98,1.05,1.16,1.28,1.42,1.53,1.71,4.4,"SD","46","South Dakota"
"Transfer","Transfer",234,0.17,0.43,0.54,0.6,0.68,0.75,0.83,0.9,1,1.13,1.26,1.42,1.53,1.69,2.07,2.67,4.19,7.26,9.44,10.59,11.82,"SD","46","South Dakota"
"Transfer","DIDO",116,0.7,1.35,1.52,1.69,1.82,1.95,2.23,2.37,2.47,2.58,2.78,3.05,3.3,3.42,3.53,3.65,3.92,4.73,5.13,6.51,11,"SD","46","South Dakota"
"LKW to EMS","LKW to EMS",343,0.02,0.15,0.22,0.28,0.37,0.48,0.55,0.75,0.96,1.13,1.35,1.72,2.1,2.59,3.5,4.33,5.3,6.86,8.4,10.05,11.85,"SD","46","South Dakota"
"PSC","TPA",3485,0.05,0.42,0.5,0.55,0.6,0.65,0.7,0.73,0.78,0.83,0.88,0.94,1,1.07,1.15,1.25,1.35,1.5,1.75,2.18,7.43,"TN","47","Tennessee"
"Mothership","TPA",2569,0.03,0.3,0.35,0.4,0.43,0.47,0.5,0.53,0.57,0.58,0.63,0.67,0.72,0.77,0.82,0.88,0.95,1.03,1.2,1.61,10.25,"TN","47","Tennessee"
"Mothership","MT(TPA)",652,0.02,0.33,0.43,0.5,0.57,0.61,0.68,0.72,0.77,0.8,0.87,0.92,0.97,1.02,1.08,1.15,1.23,1.34,1.6,1.95,11.83,"TN","47","Tennessee"
"Mothership","MT(No TPA)",968,0.02,0.78,0.93,1.03,1.1,1.18,1.25,1.32,1.37,1.43,1.5,1.55,1.63,1.71,1.82,1.9,2.02,2.23,2.64,3.69,11.8,"TN","47","Tennessee"
"Transfer","TPA",83,0.15,0.2,0.27,0.33,0.46,0.53,0.56,0.59,0.64,0.67,0.7,0.74,0.8,0.89,0.97,1.04,1.14,1.46,1.97,2.5,10.93,"TN","47","Tennessee"
"Transfer","MT",1630,0.02,0.15,0.23,0.3,0.38,0.48,0.55,0.63,0.73,0.83,0.95,1.03,1.12,1.22,1.32,1.42,1.55,1.74,2.05,2.65,11.97,"TN","47","Tennessee"
"Transfer","Transfer",12113,0.02,0.3,0.43,0.52,0.6,0.68,0.75,0.83,0.92,1,1.08,1.18,1.3,1.42,1.57,1.77,2.02,2.38,3,5.1,11.95,"TN","47","Tennessee"
"Transfer","DIDO",9264,0.02,0.8,1.05,1.23,1.42,1.58,1.73,1.92,2.08,2.28,2.48,2.75,3.02,3.3,3.63,4.05,4.6,5.25,6.22,7.78,11.98,"TN","47","Tennessee"
"LKW to EMS","LKW to EMS",1999,0.02,0.17,0.27,0.35,0.43,0.53,0.62,0.75,0.92,1.12,1.4,1.76,2.17,2.73,3.48,4.37,5.61,7.09,8.69,10.07,11.98,"TN","47","Tennessee"
"PSC","TPA",8600,0.02,0.37,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1,1.08,1.18,1.3,1.45,1.68,2.15,9.28,"TX","48","Texas"
"Mothership","TPA",3685,0.05,0.35,0.42,0.47,0.52,0.57,0.6,0.65,0.68,0.72,0.77,0.8,0.87,0.92,0.98,1.05,1.15,1.28,1.52,1.9,11.33,"TX","48","Texas"
"Mothership","MT(TPA)",846,0.02,0.28,0.41,0.5,0.57,0.62,0.68,0.73,0.82,0.88,0.95,1.03,1.1,1.19,1.28,1.37,1.47,1.62,1.83,2.21,9.12,"TX","48","Texas"
"Mothership","MT(No TPA)",1647,0.02,0.53,0.79,0.93,1.05,1.17,1.27,1.35,1.45,1.53,1.63,1.73,1.85,1.97,2.08,2.22,2.42,2.67,3.16,4.56,11.63,"TX","48","Texas"
"Transfer","TPA",181,0.1,0.28,0.35,0.4,0.47,0.55,0.58,0.63,0.72,0.75,0.82,0.87,0.92,0.97,1.02,1.1,1.33,1.52,1.68,2.05,4.37,"TX","48","Texas"
"Transfer","MT",2556,0.02,0.32,0.43,0.52,0.6,0.67,0.73,0.8,0.87,0.95,1.03,1.12,1.22,1.33,1.45,1.58,1.77,2.05,2.38,3.08,11.15,"TX","48","Texas"
"Transfer","Transfer",17330,0.02,0.2,0.3,0.38,0.45,0.52,0.6,0.67,0.73,0.82,0.92,1.03,1.17,1.33,1.55,1.9,2.42,3.27,5.08,9.18,11.98,"TX","48","Texas"
"Transfer","DIDO",14268,0.02,1.08,1.37,1.58,1.77,1.97,2.15,2.35,2.57,2.78,3.03,3.3,3.58,3.93,4.33,4.77,5.3,6.02,6.92,8.45,11.98,"TX","48","Texas"
"LKW to EMS","LKW to EMS",21070,0.02,0.13,0.22,0.28,0.35,0.45,0.53,0.65,0.8,1.02,1.28,1.63,2.1,2.7,3.47,4.45,5.68,7.28,8.93,10.45,11.98,"TX","48","Texas"
"PSC","TPA",691,0.17,0.32,0.37,0.42,0.45,0.48,0.52,0.57,0.6,0.63,0.68,0.72,0.77,0.8,0.87,0.92,1,1.1,1.25,1.62,4.5,"UT","49","Utah"
"Mothership","TPA",475,0.17,0.3,0.33,0.38,0.4,0.42,0.45,0.48,0.52,0.55,0.58,0.62,0.67,0.72,0.8,0.9,0.98,1.08,1.23,1.62,8.92,"UT","49","Utah"
