"Type","TimeType","Count","Quantile.0.","Quantile.5.","Quantile.10.","Quantile.15.","Quantile.20.","Quantile.25.","Quantile.30.","Quantile.35.","Quantile.40.","Quantile.45.","Quantile.50.","Quantile.55.","Quantile.60.","Quantile.65.","Quantile.70.","Quantile.75.","Quantile.80.","Quantile.85.","Quantile.90.","Quantile.95.","Quantile.100.","state","state_code","state_name"
"Transfer","DIDO",2660,0.02,1.33,1.67,1.9,2.08,2.27,2.45,2.68,2.9,3.12,3.38,3.68,4.03,4.47,4.97,5.5,6.17,6.97,8.07,9.68,11.95,"MD","24","Maryland"
"LKW to EMS","LKW to EMS",2342,0.02,0.2,0.28,0.37,0.47,0.58,0.73,0.88,1.08,1.32,1.63,2.07,2.6,3.25,4.17,5.15,6.5,8.13,9.38,10.72,11.97,"MD","24","Maryland"
"PSC","TPA",266,0.13,0.43,0.49,0.58,0.63,0.68,0.7,0.75,0.78,0.83,0.9,0.95,1.02,1.08,1.14,1.23,1.35,1.5,1.81,2.86,10,"ME","23","Maine"
"Mothership","TPA",14,0.18,0.27,0.36,0.44,0.47,0.48,0.48,0.49,0.51,0.53,0.53,0.54,0.56,0.59,0.62,0.65,0.69,0.74,0.77,0.85,0.98,"ME","23","Maine"
"Mothership","MT(TPA)",1,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,"ME","23","Maine"
"Mothership","MT(No TPA)",12,0.7,0.77,0.84,0.9,0.97,1.08,1.16,1.22,1.23,1.23,1.28,1.34,1.38,1.42,1.42,1.53,1.79,2.05,2.3,2.35,2.35,"ME","23","Maine"
"Transfer","TPA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ME","23","Maine"
"Transfer","MT",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ME","23","Maine"
"Transfer","Transfer",44,0.02,0.12,0.44,0.67,0.73,0.77,0.85,0.94,1.04,1.23,1.46,1.54,1.88,2.22,2.83,3.13,3.99,5.04,8.17,9.13,11.9,"ME","23","Maine"
"Transfer","DIDO",21,1.33,1.43,2.87,3.02,3.15,3.22,3.98,4.1,4.53,4.58,4.67,4.98,5.12,5.13,5.55,6.08,6.42,6.7,7.1,7.73,7.8,"ME","23","Maine"
"LKW to EMS","LKW to EMS",203,0.02,0.18,0.25,0.33,0.42,0.5,0.63,0.77,0.95,1.18,1.58,2.09,2.37,3.12,3.69,4.43,5.62,7.13,8.97,10.72,11.88,"ME","23","Maine"
"PSC","TPA",3530,0.03,0.47,0.53,0.6,0.65,0.68,0.73,0.78,0.83,0.87,0.92,0.95,1,1.08,1.17,1.27,1.38,1.53,1.77,2.22,11.17,"MI","26","Michigan"
"Mothership","TPA",3047,0.07,0.37,0.43,0.48,0.53,0.57,0.62,0.65,0.68,0.72,0.77,0.8,0.85,0.92,0.98,1.06,1.17,1.28,1.48,1.88,10.32,"MI","26","Michigan"
"Mothership","MT(TPA)",643,0.03,0.45,0.55,0.64,0.72,0.78,0.87,0.93,0.98,1.05,1.12,1.18,1.23,1.33,1.43,1.59,1.72,1.88,2.18,2.76,11.85,"MI","26","Michigan"
"Mothership","MT(No TPA)",1310,0.05,0.55,0.75,0.97,1.1,1.22,1.32,1.42,1.53,1.62,1.75,1.83,1.95,2.05,2.18,2.33,2.58,2.9,3.55,4.9,11.92,"MI","26","Michigan"
"Transfer","TPA",29,0.1,0.29,0.34,0.37,0.45,0.52,0.55,0.58,0.7,0.77,0.83,0.91,0.94,1.09,1.21,1.32,1.47,1.61,2.24,2.46,3.6,"MI","26","Michigan"
"Transfer","MT",1476,0.02,0.23,0.32,0.4,0.47,0.53,0.58,0.65,0.73,0.8,0.87,0.92,0.98,1.07,1.16,1.3,1.47,1.67,2.02,2.87,12,"MI","26","Michigan"
"Transfer","Transfer",8519,0.02,0.23,0.33,0.42,0.48,0.53,0.58,0.63,0.68,0.73,0.8,0.87,0.93,1.02,1.13,1.28,1.5,1.78,2.54,5.5,11.97,"MI","26","Michigan"
"Transfer","DIDO",6637,0.02,1,1.27,1.43,1.62,1.78,1.97,2.13,2.35,2.55,2.77,3.02,3.28,3.58,3.95,4.38,4.92,5.6,6.52,8,11.98,"MI","26","Michigan"
"LKW to EMS","LKW to EMS",9023,0.02,0.13,0.22,0.28,0.35,0.45,0.55,0.67,0.83,1.05,1.33,1.7,2.15,2.8,3.67,4.68,5.98,7.38,9.1,10.58,11.98,"MI","26","Michigan"
"PSC","TPA",125,0.4,0.62,0.71,0.78,0.82,0.85,0.92,0.94,0.98,1.04,1.08,1.13,1.16,1.26,1.33,1.5,1.61,1.88,2.44,3.16,4.83,"MN","27","Minnesota"
"Mothership","TPA",627,0.22,0.38,0.44,0.5,0.55,0.58,0.62,0.67,0.72,0.75,0.8,0.85,0.9,0.97,1.03,1.12,1.22,1.38,1.63,2.2,5.72,"MN","27","Minnesota"
"Mothership","MT(TPA)",150,0.1,0.36,0.45,0.51,0.55,0.57,0.58,0.65,0.72,0.82,0.87,0.95,0.97,1.05,1.07,1.1,1.2,1.4,1.52,1.75,8.25,"MN","27","Minnesota"
"Mothership","MT(No TPA)",338,0.18,0.41,0.69,0.93,1.07,1.13,1.2,1.3,1.35,1.44,1.55,1.65,1.72,1.83,1.93,2.07,2.27,2.51,3.03,4.26,11.42,"MN","27","Minnesota"
"Transfer","TPA",29,0.05,0.16,0.21,0.24,0.33,0.38,0.44,0.51,0.54,0.63,0.7,0.76,0.9,1,1.14,1.3,1.32,1.4,1.5,1.77,2.33,"MN","27","Minnesota"
"Transfer","MT",608,0.02,0.27,0.35,0.4,0.43,0.45,0.5,0.53,0.57,0.62,0.67,0.7,0.75,0.82,0.9,1,1.11,1.3,1.56,2.09,10,"MN","27","Minnesota"
"Transfer","Transfer",7825,0.02,0.3,0.4,0.47,0.52,0.57,0.62,0.68,0.75,0.83,0.92,1.02,1.13,1.23,1.33,1.43,1.58,1.78,2.12,2.95,11.88,"MN","27","Minnesota"
"Transfer","DIDO",6564,0.02,0.93,1.15,1.32,1.48,1.63,1.83,2.02,2.22,2.45,2.7,2.98,3.3,3.65,4.08,4.5,5.05,5.75,6.68,8.18,11.93,"MN","27","Minnesota"
"LKW to EMS","LKW to EMS",6085,0.02,0.17,0.23,0.3,0.38,0.48,0.58,0.72,0.9,1.12,1.38,1.75,2.17,2.75,3.48,4.4,5.53,7.15,8.85,10.32,11.98,"MN","27","Minnesota"
"PSC","TPA",3487,0.02,0.37,0.43,0.5,0.55,0.58,0.63,0.68,0.72,0.77,0.82,0.87,0.93,0.98,1.05,1.17,1.28,1.42,1.67,2.12,7.22,"MO","29","Missouri"
"Mothership","TPA",2005,0.07,0.27,0.32,0.35,0.4,0.43,0.47,0.5,0.52,0.57,0.6,0.63,0.68,0.75,0.82,0.9,1.03,1.18,1.38,1.71,7.07,"MO","29","Missouri"
"Mothership","MT(TPA)",432,0.03,0.45,0.57,0.6,0.7,0.75,0.82,0.87,0.92,0.95,1.02,1.08,1.17,1.25,1.33,1.44,1.52,1.68,1.83,2.21,4.6,"MO","29","Missouri"
"Mothership","MT(No TPA)",795,0.22,0.53,0.65,0.78,0.92,1.02,1.1,1.18,1.25,1.33,1.42,1.5,1.58,1.7,1.8,1.92,2.12,2.23,2.48,3.11,12,"MO","29","Missouri"
"Transfer","TPA",48,0.13,0.24,0.37,0.43,0.46,0.53,0.57,0.57,0.6,0.63,0.72,0.81,0.86,0.97,1.01,1.07,1.16,1.28,2.02,2.08,4.12,"MO","29","Missouri"
