,variable,type,X0.,X5.,X10.,X15.,X20.,X25.,X30.,X35.,X40.,X45.,X50.,X55.,X60.,X65.,X70.,X75.,X80.,X85.,X90.,X95.,X100.,sysBPLow,sysBPHi
33,diasBP,Not LVO,-1,-0.32,-0.25,-0.2,-0.17,-0.13,-0.08,-0.07,-0.03,0,0.03,0.05,0.08,0.12,0.15,0.17,0.22,0.25,0.32,0.4,1.87,0.26,0.31
34,diasBP,Not LVO,-0.98,-0.3,-0.23,-0.18,-0.15,-0.12,-0.08,-0.05,-0.02,0.02,0.03,0.07,0.1,0.13,0.17,0.2,0.23,0.28,0.33,0.43,2,0.31,0.36
35,diasBP,Not LVO,-1,-0.28,-0.22,-0.17,-0.13,-0.1,-0.05,-0.02,0,0.03,0.07,0.1,0.13,0.17,0.18,0.22,0.27,0.32,0.37,0.48,1.98,0.36,0.41
36,diasBP,Not LVO,-1,-0.27,-0.2,-0.15,-0.12,-0.08,-0.05,-0.02,0.02,0.05,0.08,0.12,0.15,0.17,0.2,0.25,0.28,0.33,0.4,0.5,1.87,0.41,0.45
37,diasBP,Not LVO,-1,-0.25,-0.18,-0.13,-0.1,-0.05,-0.02,0,0.03,0.07,0.1,0.13,0.17,0.2,0.23,0.27,0.32,0.35,0.42,0.53,1.98,0.45,0.5
38,diasBP,Not LVO,-0.98,-0.23,-0.17,-0.12,-0.08,-0.03,0,0.03,0.05,0.08,0.12,0.15,0.18,0.22,0.25,0.28,0.33,0.38,0.45,0.57,1.78,0.5,0.55
39,diasBP,Not LVO,-1,-0.23,-0.15,-0.1,-0.07,-0.03,0,0.03,0.07,0.1,0.13,0.17,0.2,0.23,0.27,0.3,0.35,0.4,0.47,0.58,1.88,0.55,0.61
40,diasBP,Not LVO,-0.98,-0.2,-0.13,-0.08,-0.03,0,0.03,0.07,0.1,0.13,0.17,0.18,0.22,0.25,0.3,0.33,0.37,0.43,0.5,0.62,1.93,0.61,0.66
41,diasBP,Not LVO,-1,-0.2,-0.12,-0.07,-0.02,0.02,0.05,0.07,0.1,0.13,0.17,0.2,0.23,0.27,0.3,0.35,0.4,0.45,0.52,0.63,1.97,0.66,0.72
42,diasBP,Not LVO,-1,-0.17,-0.08,-0.03,0,0.03,0.07,0.1,0.13,0.17,0.2,0.23,0.27,0.3,0.33,0.38,0.43,0.5,0.57,0.68,1.9,0.72,0.8
43,diasBP,Not LVO,-0.98,-0.15,-0.07,-0.02,0.03,0.07,0.1,0.13,0.17,0.2,0.23,0.27,0.3,0.33,0.37,0.42,0.47,0.53,0.6,0.73,1.85,0.8,0.88
44,diasBP,Not LVO,-0.88,-0.1,-0.02,0.03,0.08,0.12,0.15,0.18,0.22,0.25,0.28,0.32,0.33,0.38,0.43,0.48,0.52,0.58,0.67,0.82,1.97,0.88,1
45,diasBP,Not LVO,-1,-0.05,0.03,0.1,0.15,0.18,0.23,0.25,0.3,0.33,0.35,0.4,0.43,0.48,0.52,0.57,0.63,0.7,0.8,0.93,2,1,1.18
46,diasBP,Not LVO,-1,0.07,0.17,0.23,0.3,0.33,0.37,0.42,0.45,0.5,0.53,0.57,0.62,0.67,0.72,0.77,0.83,0.92,1.02,1.17,2,1.18,2.25
47,diasBP,Hemorrhagic,,,,,,,,,,,,,,,,,,,,,,,
48,diasBP,Hemorrhagic,-1,-0.62,-0.52,-0.47,-0.43,-0.4,-0.37,-0.35,-0.32,-0.3,-0.27,-0.25,-0.22,-0.18,-0.17,-0.13,-0.1,-0.05,0,0.1,1.9,-0.88,-0.1
49,diasBP,Hemorrhagic,-1,-0.45,-0.38,-0.35,-0.3,-0.27,-0.23,-0.22,-0.18,-0.17,-0.13,-0.12,-0.08,-0.05,-0.03,0,0.03,0.08,0.13,0.23,1.93,-0.1,0.03
50,diasBP,Hemorrhagic,-0.98,-0.4,-0.35,-0.3,-0.27,-0.22,-0.18,-0.17,-0.13,-0.1,-0.08,-0.05,-0.03,0,0.02,0.05,0.1,0.13,0.18,0.28,1.25,0.03,0.11
51,diasBP,Hemorrhagic,-0.9,-0.37,-0.3,-0.27,-0.22,-0.18,-0.15,-0.12,-0.1,-0.07,-0.03,-0.02,0,0.03,0.07,0.1,0.13,0.18,0.23,0.33,1.47,0.11,0.17
52,diasBP,Hemorrhagic,-0.82,-0.35,-0.28,-0.25,-0.2,-0.17,-0.13,-0.1,-0.07,-0.05,-0.02,0.02,0.03,0.07,0.1,0.13,0.17,0.22,0.27,0.37,1.78,0.17,0.24
53,diasBP,Hemorrhagic,-0.97,-0.33,-0.27,-0.22,-0.18,-0.13,-0.1,-0.07,-0.03,-0.02,0.02,0.03,0.07,0.1,0.13,0.17,0.2,0.25,0.32,0.42,1.35,0.24,0.29
54,diasBP,Hemorrhagic,-1,-0.32,-0.23,-0.2,-0.15,-0.12,-0.08,-0.05,-0.03,0,0.03,0.07,0.1,0.12,0.15,0.18,0.23,0.28,0.33,0.45,1.25,0.29,0.35
55,diasBP,Hemorrhagic,-0.97,-0.28,-0.22,-0.17,-0.13,-0.1,-0.05,-0.02,0,0.03,0.07,0.1,0.13,0.17,0.18,0.23,0.27,0.32,0.38,0.5,1.62,0.35,0.4
56,diasBP,Hemorrhagic,-0.93,-0.27,-0.2,-0.15,-0.1,-0.07,-0.03,0,0.03,0.07,0.1,0.13,0.15,0.18,0.22,0.27,0.3,0.35,0.42,0.55,1.8,0.4,0.45
57,diasBP,Hemorrhagic,-0.97,-0.23,-0.17,-0.12,-0.08,-0.03,0,0.03,0.07,0.1,0.13,0.15,0.18,0.22,0.25,0.3,0.33,0.38,0.47,0.6,1.67,0.45,0.5
58,diasBP,Hemorrhagic,-0.93,-0.22,-0.15,-0.1,-0.05,-0.02,0.02,0.05,0.08,0.12,0.15,0.17,0.22,0.25,0.28,0.33,0.37,0.43,0.5,0.65,1.78,0.5,0.56
59,diasBP,Hemorrhagic,-0.87,-0.2,-0.13,-0.07,-0.03,0,0.03,0.07,0.1,0.15,0.17,0.2,0.25,0.28,0.32,0.35,0.4,0.47,0.53,0.67,1.8,0.56,0.62
60,diasBP,Hemorrhagic,-0.93,-0.18,-0.1,-0.05,0,0.03,0.07,0.1,0.13,0.17,0.2,0.23,0.27,0.3,0.35,0.38,0.45,0.5,0.58,0.72,1.53,0.62,0.7
61,diasBP,Hemorrhagic,-0.93,-0.13,-0.07,0,0.03,0.07,0.12,0.15,0.17,0.2,0.25,0.28,0.32,0.33,0.38,0.43,0.48,0.53,0.63,0.75,1.67,0.7,0.76
62,diasBP,Hemorrhagic,-0.98,-0.13,-0.05,0.02,0.05,0.1,0.13,0.17,0.2,0.23,0.27,0.3,0.33,0.38,0.43,0.48,0.53,0.6,0.68,0.83,1.97,0.76,0.85
63,diasBP,Hemorrhagic,-0.93,-0.1,0,0.05,0.1,0.15,0.18,0.22,0.25,0.3,0.33,0.37,0.42,0.47,0.5,0.55,0.6,0.67,0.75,0.88,1.95,0.85,0.94
64,diasBP,Hemorrhagic,-0.97,-0.05,0.05,0.12,0.17,0.2,0.25,0.28,0.32,0.33,0.38,0.43,0.47,0.52,0.57,0.62,0.67,0.75,0.83,1,2,0.94,1.04
65,diasBP,Hemorrhagic,-0.97,0,0.11,0.18,0.23,0.28,0.32,0.35,0.4,0.43,0.48,0.52,0.57,0.62,0.67,0.72,0.78,0.85,0.95,1.12,2,1.04,1.19
66,diasBP,Hemorrhagic,-0.98,0.1,0.22,0.3,0.33,0.38,0.43,0.48,0.5,0.55,0.6,0.65,0.68,0.73,0.8,0.84,0.92,1,1.08,1.23,2,1.19,1.38
